Name,RAT,POS,VER,Price,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS
Pelé,99,"LW  RM,LM,RW",Shapeshifters ICON  Explosive,2.88M,5,5,H \ M,96,97,94,99,61,78,"173cm | 5'8""  Unique (70kg)",3080,525,2557
Kevin De Bruyne,99,CM  CAM,Level Up Obj  Controlled,0,5,5,H \ H,88,95,99,97,91,99,"181cm | 5'11""  Unique (70kg)",1048,569,2743
Cristiano Ronaldo,99,"ST  CF,LW",Futties Premium  Controlled,9.8M,5,5,H \ L,97,99,93,97,41,88,"187cm | 6'2""  CR7 (83kg)",4143,515,2499
Lionel Messi,99,"ST  RM,RW",Futties Premium  Controlled,5.95M,5,5,H \ L,95,98,99,99,41,81,"169cm | 5'7""  Messi (67kg)",2757,513,2506
Neymar Jr,99,"CAM  LM,LW",Futties  Explosive,0,5,5,H \ M,99,96,95,99,50,78,"175cm | 5'9""  Neymar (68kg)",1335,517,2531
Kylian Mbappé,99,"ST  CF,LW",Futties  Controlled,8.33M,5,5,H \ L,99,98,92,99,45,87,"182cm | 6'0""  Unique (73kg)",1257,520,2497
Zinedine Zidane,99,CAM  CM,Cover Star Icon SBC  Controlled,1.74M,5,5,M \ M,92,96,99,97,87,90,"185cm | 6'1""  Average (77kg)",3726,561,2722
Karim Benzema,99,CF  ST,Futties Premium  Controlled,1.39M,5,5,H \ M,97,99,93,98,50,97,"185cm | 6'1""  Average (81kg)",993,534,2559
Gianluigi Donnarumma,99,GK,Futties Premium  Controlled,29K,2,5,M \ H,99,95,92,99,77,98,"196cm | 6'5""  Unique (90kg)",1137,560,1064
Erling Haaland,99,ST  CF,Futties Premium SBC  Controlled,1.26M,5,5,H \ M,99,99,88,94,63,99,"195cm | 6'5""  Unique (94kg)",4554,542,2583
Robert Lewandowski,99,ST  CF,Futties Premium  Controlled,1.39M,5,5,H \ M,97,99,92,97,53,99,"185cm | 6'1""  Unique (81kg)",879,537,2581
Lothar Matthäus,99,"CM  CB,CDM",Cover Star Icon SBC  Controlled,1.21M,4,5,H \ H,95,97,99,96,99,95,"174cm | 5'9""  Average (70kg)",4193,581,2812
Rafael Leão,99,LW  LM,Futties Premium SBC  Controlled,596.5K,5,5,H \ L,99,96,93,99,43,93,"188cm | 6'2""  High & Average (81kg)",2735,523,2478
Thierry Henry,99,"ST  CF,LW",Cover Star Icon SBC  Controlled,1.1M,5,5,H \ M,99,99,92,99,62,90,"188cm | 6'2""  High & Average (83kg)",3015,541,2611
Declan Rice,99,"CDM  CB,CM",ShowDown SBC  Lengthy,116.6K,4,5,M \ H,94,83,95,96,99,99,"185cm | 6'1""  High & Average (80kg)",2079,566,2693
Jude Bellingham,99,"CM  CDM,LM",Player Moments SBC  Controlled,758.6K,5,5,H \ H,94,93,97,99,96,96,"186cm | 6'1""  High & Average+ (75kg)",3597,575,2738
Christopher Nkunku,99,"CF  CAM,ST",Dynamic Duos  Explosive,125K,5,5,H \ M,99,95,96,99,82,86,"175cm | 5'9""  Average (73kg)",1696,557,2643
Moussa Diaby,99,"RM  LM,RW,LW",Dynamic Duos  Explosive,125K,5,5,H \ M,99,94,95,99,60,87,"170cm | 5'7""  Short & Lean- (68kg)",1308,534,2523
Harry Kane,99,ST  CF,Player Moments SBC  Controlled,958.3K,5,5,H \ H,95,99,98,97,60,99,"188cm | 6'2""  Unique (89kg)",694,548,2666
Pelé,98,"CAM  CF,ST",Icon  Explosive,1.19M,5,4,H \ M,95,96,93,96,60,76,"173cm | 5'8""  Unique (70kg)",4411,516,2513
Lionel Messi,98,RW  RM,TOTY  Controlled,837K,4,4,H \ L,93,98,97,99,40,77,"169cm | 5'7""  Messi (67kg)",5945,504,2469
Lionel Messi,98,"ST  RM,RW",TOTS  Controlled,579K,4,4,H \ L,94,97,96,99,40,79,"169cm | 5'7""  Messi (67kg)",1567,505,2455
Virgil van Dijk,98,CDM  CM,Shapeshifters  Lengthy,0,4,5,M \ H,92,80,90,91,98,96,"193cm | 6'4""  Unique (92kg)",1624,547,2612
Mané Garrincha,98,ST  CF,Shapeshifters ICON  Controlled,282K,5,4,H \ M,94,98,90,98,46,84,"169cm | 5'7""  Short & Lean- (72kg)",1168,510,2470
Thierry Henry,98,"RW  RM,CAM",Shapeshifters ICON  Controlled,385K,5,5,H \ M,98,95,93,98,70,86,"188cm | 6'2""  High & Average (83kg)",1940,540,2586
Kevin De Bruyne,98,CM  CAM,Level Up  Controlled,2.72M,4,5,H \ H,86,94,99,96,87,88,"181cm | 5'11""  Unique (70kg)",310,550,2640
Leon Goretzka,98,CM  CDM,Level Up  Lengthy,0,4,5,H \ H,93,93,95,94,93,98,"189cm | 6'2""  Unique (82kg)",532,566,2687
Vinícius Júnior,98,"LW  LM,CF",Explosive,0,5,5,H \ M,99,94,94,99,45,85,"176cm | 5'9""  Lean (73kg)",7189,516,2476
Ronaldinho,98,"CAM  LM,LW",Cover Star Icon  Controlled,2.64M,5,5,H \ M,98,94,95,99,50,88,"180cm | 5'11""  Ronaldinho (78kg)",2634,524,2513
Lúcio,98,CB,Futties Hero  Controlled,1.14M,4,5,M \ H,93,83,87,93,98,97,"188cm | 6'2""  High & Average (84kg)",1578,551,2628
Alisson,98,GK,Futties  Lengthy,27K,2,5,M \ M,97,96,94,99,66,98,"191cm | 6'3""  Unique (91kg)",882,550,1093
Marcus Rashford,98,"LW  LM,ST",Futties  Controlled,287K,5,5,H \ M,99,97,95,98,60,92,"186cm | 6'1""  Unique (70kg)",1494,541,2609
Sidney Govou,98,"ST  RM,CF",Futties Hero  Explosive,928.9K,5,4,H \ M,99,99,94,99,65,82,"175cm | 5'9""  Average (75kg)",3115,538,2594
Alessandro Del Piero,98,"CF  CAM,ST",Cover Star Icon  Explosive,1.28M,5,5,H \ M,96,98,93,99,50,80,"174cm | 5'9""  Unique (74kg)",1031,516,2522
Paulo Dybala,98,"CF  CAM,RW,ST",Futties Premium  Explosive,214K,5,5,H \ L,97,98,97,99,52,82,"177cm | 5'10""  Unique (75kg)",1060,525,2564
Claudio Marchisio,98,"CM  CDM,LM",Futties Hero  Controlled,300K,5,5,H \ H,96,96,98,98,93,94,"180cm | 5'11""  Lean (74kg)",1259,575,2755
Abedi Pelé,98,"CAM  LM,CF,ST",Futties Hero  Explosive,86.5K,5,5,H \ M,99,93,96,98,57,82,"174cm | 5'9""  Average (67kg)",635,525,2542
Martin Ødegaard,98,CAM  CM,Futties Premium SBC  Explosive,134.15K,5,5,H \ M,94,92,99,97,84,82,"178cm | 5'10""  Lean (68kg)",1184,548,2635
Min Jae Kim,98,CB,Player Moments SBC  Lengthy,152.75K,3,5,M \ H,96,49,84,88,97,99,"190cm | 6'3""  High & Average (81kg)",1074,513,2382
Jordi Alba Ramos,98,"LB  LWB,LM",Player Moments  Controlled,0,5,4,H \ H,98,87,97,98,93,92,"170cm | 5'7""  Unique (68kg)",457,565,2715
Sandro Tonali,98,CDM  CM,Player Moments  Controlled,0,5,5,M \ H,95,91,97,96,96,98,"181cm | 5'11""  Unique (79kg)",279,573,2749
Eldor Shomurodov,98,ST  CF,Player Moments SBC,108.9K,4,5,H \ M,99,98,88,99,65,95,"190cm | 6'3""",-89,544,2579
Karim Benzema,97,CF  ST,TOTY  Controlled,164K,4,5,H \ M,92,97,90,94,45,90,"185cm | 6'1""  Average (81kg)",4961,508,2449
Kylian Mbappé,97,"ST  CF,LW",TOTY  Controlled,3.37M,5,4,H \ L,99,96,88,98,44,87,"182cm | 6'0""  Unique (73kg)",3677,512,2455
Kevin De Bruyne,97,CM  CAM,TOTY  Controlled,198K,4,5,H \ H,85,94,98,94,81,86,"181cm | 5'11""  Unique (70kg)",2431,538,2593
Zinedine Zidane,97,CAM  CM,Trophy Titans - ICON  Controlled,260K,5,5,H \ H,86,92,96,95,81,88,"185cm | 6'1""  Average (77kg)",1731,538,2581
Ronaldo,97,ST  CF,Trophy Titans - ICON  Controlled,1.31M,5,5,H \ M,97,96,82,96,45,82,"183cm | 6'0""  R9 (78kg)",3545,498,2393
Kevin De Bruyne,97,CM  CAM,TOTS  Controlled,35K,4,5,H \ H,84,92,99,95,85,87,"181cm | 5'11""  Unique (70kg)",2322,542,2603
Erling Haaland,97,ST  CF,TOTS  Controlled,248K,4,5,H \ M,97,97,82,90,61,95,"195cm | 6'5""  Unique (94kg)",1899,522,2457
Jude Bellingham,97,"CM  CDM,LM",TOTS  Controlled,157K,4,5,H \ H,90,90,94,98,93,94,"186cm | 6'1""  High & Average+ (75kg)",2126,559,2647
Jamal Musiala,97,"CAM  CM,LM",TOTS  Controlled,26K,5,4,H \ M,94,88,92,98,81,86,"183cm | 6'0""  Lean (70kg)",1909,539,2536
Robert Lewandowski,97,ST  CF,TOTS  Controlled,48K,4,5,H \ M,90,99,86,93,51,90,"185cm | 6'1""  Unique (81kg)",3033,509,2473
Karim Benzema,97,CF  ST,TOTS  Lengthy,258K,5,4,H \ M,93,96,89,93,45,94,"185cm | 6'1""  Average (81kg)",783,510,2455
Luka Modric,97,CM,TOTS  Explosive,26.75K,4,5,H \ M,87,87,99,99,86,84,"172cm | 5'8""  Lean (66kg)",2629,542,2643
Kylian Mbappé,97,"ST  CF,LW",TOTS  Controlled,1.62M,5,4,H \ L,99,97,87,99,43,85,"182cm | 6'0""  Unique (73kg)",1525,510,2440
Rafael Leão,97,LW  LM,TOTS  Controlled,170K,5,4,M \ L,99,93,89,98,40,91,"188cm | 6'2""  High & Average (81kg)",1793,510,2409
Victor Osimhen,97,ST  CF,TOTS  Controlled,30.5K,4,5,H \ M,99,97,82,94,55,95,"185cm | 6'1""  High & Average+ (78kg)",1506,522,2461
Toni Kroos,97,"CDM  CAM,CF",Shapeshifters Obj  Controlled,0,5,5,H \ H,90,87,96,93,92,90,"183cm | 6'0""  Average (76kg)",6055,548,2635
Kylian Mbappé,97,"ST  CF,LW",Award Winner  Controlled,3.99M,5,4,H \ L,99,97,87,99,43,85,"182cm | 6'0""  Unique (73kg)",106,510,2440
Jude Bellingham,97,"CM  CDM,LM",Award Winner  Controlled,0,4,5,H \ H,90,90,94,98,93,94,"186cm | 6'1""  High & Average+ (75kg)",172,559,2640
Erling Haaland,97,ST  CF,Award Winner  Controlled,690K,4,5,H \ M,97,97,82,90,61,95,"195cm | 6'5""  Unique (94kg)",187,522,2457
Robert Lewandowski,97,ST  CF,Award Winner  Controlled,105K,4,5,H \ M,90,99,86,93,51,90,"185cm | 6'1""  Unique (81kg)",347,509,2473
Victor Osimhen,97,ST  CF,Award Winner  Controlled,0,4,5,H \ M,99,97,82,94,55,95,"185cm | 6'1""  High & Average+ (78kg)",192,522,2461
Bruno Fernandes,97,"LW  RM,LM,RW",Shapeshifters  Explosive,40K,5,4,H \ H,96,93,95,99,75,84,"179cm | 5'10""  Unique (69kg)",1137,542,2615
Ousmane Dembélé,97,"CAM  CM,CF",Shapeshifters  Explosive,369K,5,5,H \ M,97,92,95,99,73,80,"178cm | 5'10""  Unique (67kg)",1193,536,2557
